alimento,consumo,identifier,entidad,code_upm,est_var,pondef,indicef,nse4f,nse5f,area,region,sexo,edadanos
néctares de frutas o pulpa de frutas industrializados con az,360,folio_080157__intp_1,08,M0805,83,12346.6875,1.9510083198547363,4,muy alto,urbano,norte,femenino,70.81177520751953
refresco normal,300,folio_080157__intp_1,08,M0805,83,12346.6875,1.9510083198547363,4,muy alto,urbano,norte,femenino,70.81177520751953
refresco normal,102.85713958740234,folio_080168__intp_5,08,M0805,83,27893.142578125,-1.3145709037780762,1,bajo,urbano,norte,masculino,12.424365997314453
refresco normal,34.28571319580078,folio_080218__intp_3,08,M0806,82,7797.57568359375,-3.0877902507781982,1,muy bajo,rural,norte,femenino,16.21902847290039
refresco normal,720,folio_080242__intp_2,08,M0807,85,29364.55859375,1.972452163696289,4,muy alto,urbano,norte,femenino,33.4318962097168
bebidas o aguas de sabor industrializadas con azúcar (frutsi,925.71429443359375,folio_080242__intp_2,08,M0807,85,29364.55859375,1.972452163696289,4,muy alto,urbano,norte,femenino,33.4318962097168
refresco normal,188.57142639160156,folio_080246__intp_3,08,M0807,85,9276.7578125,-0.03564400598406792,2,medio,urbano,norte,masculino,16.194387435913086
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_080246__intp_3,08,M0807,85,9276.7578125,-0.03564400598406792,2,medio,urbano,norte,masculino,16.194387435913086
refresco normal,122.14286041259766,folio_080253__intp_3,08,M0807,85,9276.7578125,1.6767970323562622,4,muy alto,urbano,norte,masculino,15.616700172424316
refresco normal,71.25,folio_080256__intp_1,08,M0807,85,14682.279296875,2.61171293258667,4,muy alto,urbano,norte,femenino,33.76865005493164
refresco normal,285,folio_080280__intp_3,08,M0808,86,2181.060302734375,2.1710894107818604,4,muy alto,urbano,norte,femenino,17.820669174194336
jugos naturales con azúcar,34.28571319580078,folio_080292__intp_3,08,M0808,86,2905.05908203125,-1.2990365028381348,1,bajo,urbano,norte,masculino,12.468172073364258
refresco normal,33.60000228881836,folio_080292__intp_3,08,M0808,86,2905.05908203125,-1.2990365028381348,1,bajo,urbano,norte,masculino,12.468172073364258
refresco normal,205.7142791748047,folio_080313__intp_1,08,M0809,82,13876.39453125,1.6449748277664185,3,alto,rural,norte,masculino,36.58042526245117
aguas de fruta natural con azúcar,154.2857208251953,folio_080313__intp_1,08,M0809,82,13876.39453125,1.6449748277664185,3,alto,rural,norte,masculino,36.58042526245117
néctares de frutas o pulpa de frutas industrializados con az,154.2857208251953,folio_080313__intp_1,08,M0809,82,13876.39453125,1.6449748277664185,3,alto,rural,norte,masculino,36.58042526245117
refresco normal,34.28571319580078,folio_080321__intp_5,08,M0809,82,4155.7158203125,1.8488434553146362,4,muy alto,rural,norte,femenino,17.763174057006836
refresco normal,600,folio_080341__intp_3,08,M0809,82,9906.01171875,2.6661624908447266,4,muy alto,rural,norte,femenino,17.776865005493164
refresco normal,712.5,folio_080371__intp_3,08,M0810,85,12693.916015625,0.04016513749957085,2,medio,urbano,norte,femenino,13.396303176879883
refresco normal,600,folio_080376__intp_1,08,M0810,85,11226.056640625,-0.871392548084259,1,bajo,urbano,norte,femenino,65.94934844970703
bebidas o aguas de sabor industrializadas con azúcar (frutsi,102.85713958740234,folio_080378__intp_3,08,M0810,85,31951.693359375,2.3970983028411865,4,muy alto,urbano,norte,femenino,20.276521682739258
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_080378__intp_3,08,M0810,85,31951.693359375,2.3970983028411865,4,muy alto,urbano,norte,femenino,20.276521682739258
refresco normal,71.42857360839844,folio_080408__intp_1,08,M0811,85,17559.96484375,-3.2361574172973633,1,muy bajo,urbano,norte,masculino,69
refresco normal,77.14286041259766,folio_080415__intp_3,08,M0811,85,12535.6201171875,0.5396889448165894,3,alto,urbano,norte,femenino,15.564681053161621
bebidas o aguas de sabor industrializadas con azúcar (frutsi,514.28570556640625,folio_080415__intp_3,08,M0811,85,12535.6201171875,0.5396889448165894,3,alto,urbano,norte,femenino,15.564681053161621
refresco normal,205.7142791748047,folio_080513__intp_4,08,M0812,85,20648.267578125,2.37050724029541,4,muy alto,urbano,norte,masculino,15.405885696411133
refresco normal,102.85713958740234,folio_080550__intp_1,08,M0813,85,32743.392578125,1.6981565952301025,4,muy alto,urbano,norte,masculino,60.802188873291016
refresco normal,34.28571319580078,folio_080609__intp_2,08,M0815,85,32585.369140625,2.692753314971924,4,muy alto,urbano,norte,femenino,36.908966064453125
aguas de fruta natural con azúcar,122.14286041259766,folio_080620__intp_4,08,M0815,85,9211.5146484375,1.3811419010162354,3,alto,urbano,norte,femenino,12.47912311553955
refresco normal,122.14286041259766,folio_080620__intp_4,08,M0815,85,9211.5146484375,1.3811419010162354,3,alto,urbano,norte,femenino,12.47912311553955
refresco normal,102.85713958740234,folio_080638__intp_1,08,M0815,85,21652.888671875,0.023952683433890343,2,medio,urbano,norte,masculino,62.631072998046875
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_080638__intp_1,08,M0815,85,21652.888671875,0.023952683433890343,2,medio,urbano,norte,masculino,62.631072998046875
refresco normal,214.2857208251953,folio_080641__intp_4,08,M0815,85,10294.265625,1.9739097356796265,4,muy alto,urbano,norte,masculino,12.364133834838867
refresco normal,377.1428527832031,folio_080647__intp_2,08,M0816,85,30548.61328125,1.6767970323562622,4,muy alto,urbano,norte,femenino,44.908966064453125
bebidas o aguas de sabor industrializadas con azúcar (frutsi,68.57142639160156,folio_080716__intp_1,08,M0817,85,51456.796875,1.0081709623336792,3,alto,urbano,norte,masculino,43.53456497192383
refresco normal,300,folio_080716__intp_1,08,M0817,85,51456.796875,1.0081709623336792,3,alto,urbano,norte,masculino,43.53456497192383
refresco normal,70.71428680419922,folio_080728__intp_5,08,M0817,85,16309.1376953125,2.398097515106201,4,muy alto,urbano,norte,masculino,12.087611198425293
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_080773__intp_4,08,M0819,85,6079.3046875,1.9473189115524292,4,muy alto,urbano,norte,femenino,18.680355072021484
refresco normal,712.5,folio_080773__intp_4,08,M0819,85,6079.3046875,1.9473189115524292,4,muy alto,urbano,norte,femenino,18.680355072021484
néctares de frutas o pulpa de frutas industrializados con az,154.2857208251953,folio_080804__intp_4,08,M0819,85,8097.31884765625,1.4567159414291382,3,alto,urbano,norte,masculino,19.07460594177246
refresco normal,600,folio_080804__intp_4,08,M0819,85,8097.31884765625,1.4567159414291382,3,alto,urbano,norte,masculino,19.07460594177246
refresco normal,514.28570556640625,folio_080837__intp_3,08,M0820,85,16907.638671875,2.2695648670196533,4,muy alto,urbano,norte,masculino,17.574264526367188
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_080864__intp_1,08,R0808,82,6711.4638671875,2.198460817337036,4,muy alto,rural,norte,masculino,73.2895278930664
refresco normal,102.85713958740234,folio_080864__intp_1,08,R0808,82,6711.4638671875,2.198460817337036,4,muy alto,rural,norte,masculino,73.2895278930664
refresco normal,257.1428527832031,folio_080898__intp_4,08,M0821,82,14800.9453125,-0.5513802766799927,2,bajo,rural,norte,masculino,16.183435440063477
refresco normal,223.92857360839844,folio_080924__intp_4,08,M0821,82,8820.2822265625,1.1565908193588257,3,alto,rural,norte,masculino,17.013004302978516
